,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.15088809084837448
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.1490707301944808
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.14848926356803235
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.14406568331284167
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.12095717317678568
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.15937696598958342
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.15745916437257676
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.15624364122536277
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.15285754637735458
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.1397083008409182
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.16315364094901816
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.1611843305357612
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.15788746096253603
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.15557976713523441
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.13803832900552912
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.1644878922701554
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.16278948739657706
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.16040384883202916
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.15446597960809674
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.13687556501624962
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.16521990932431346
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.16338276345053254
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.16046543641913041
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.1522299123542743
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.13903270599319165
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.16718624246654826
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.16431173755724332
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.16055855042594455
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.15493146942595093
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.1351158424718352
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.16785923019347052
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.16463766705482852
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.16198644393368625
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.15192467703211973
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.13753554493897543
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.167832385915017
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.1655350851704202
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.1625697866075578
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.15307814010648405
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.13106553684223612
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.16987504900217332
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.1670799498009832
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.16223111166854887
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.15346942617853598
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.12680646472555387
