,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,1475.1704545454545,3.3122986360952478,L2S_num_sum,1566.2045454545455,3.5016475854477673,L2S_num_max,1506.1136363636363,3.2954257196159378,Adult_num,841.3295454545455,10.39013932490501,Food_cons_Ad,3.481393567502504e-05,1.4097523117963818e-05
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1466.2209302325582,3.613903883023084,L2S_num_sum,1550.6744186046512,3.4827871388549174,L2S_num_max,1491.2325581395348,3.4893888167207328,Adult_num,70.29069767441861,5.951074263666549,Food_cons_Ad,6.048332112825434e-05,1.942852590707466e-05
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,1444.5584415584415,3.60429480592467,L2S_num_sum,1517.4155844155844,3.535260847257423,L2S_num_max,1457.3506493506493,3.490920076147152,Adult_num,34.285714285714285,4.913289730415098,Food_cons_Ad,9.919459428310215e-05,4.739351535361281e-05
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,1394.2173913043478,6.559514073360106,L2S_num_sum,1455.9855072463768,7.328880286560924,L2S_num_max,1400.0869565217392,6.677657366078021,Adult_num,43.98550724637681,7.179957325256729,Food_cons_Ad,0.00045643044470635406,0.00019677425498651116
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,1248.1612903225807,17.612135159904344,L2S_num_sum,1288.9516129032259,18.705621585777042,L2S_num_max,1248.5645161290322,17.64657766578301,Adult_num,124.09677419354838,11.884774435960676,Food_cons_Ad,0.0029075271737218095,0.0007053820830316538
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1572.3023255813953,4.098315351319654,L2S_num_sum,1670.0581395348838,4.10222837081717,L2S_num_max,1606.4418604651162,4.07916210955755,Adult_num,830.7093023255813,8.907640801325362,Food_cons_Ad,2.2510254070063165e-05,1.0914506732202717e-05
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,1560.9767441860465,3.949613454711456,L2S_num_sum,1649.8488372093022,3.748397466681525,L2S_num_max,1584.1279069767443,4.0306213861278675,Adult_num,79.84883720930233,6.385828132802001,Food_cons_Ad,5.820560086866493e-05,3.3491143073488524e-05
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,1544.8461538461538,3.5022031467080104,L2S_num_sum,1622.2564102564102,3.3443425868881174,L2S_num_max,1557.871794871795,3.6344523311917687,Adult_num,35.717948717948715,3.0552628660697962,Food_cons_Ad,4.261741642110825e-05,1.4341151805511923e-05
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,1472.8955223880596,10.002919843476002,L2S_num_sum,1533.4179104477612,11.008202797677502,L2S_num_max,1475.6119402985075,10.082270246628125,Adult_num,68.2089552238806,9.255299979388706,Food_cons_Ad,0.000751000319092034,0.000350135863764425
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1316.3666666666666,22.725927434931627,L2S_num_sum,1360.9166666666667,24.354425016632437,L2S_num_max,1316.8166666666666,22.770415086280412,Adult_num,127.66666666666667,13.398681667729289,Food_cons_Ad,0.003150278574232515,0.000822972537052617
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,1590.3181818181818,3.884215890800791,L2S_num_sum,1687.375,3.976528330099459,L2S_num_max,1622.2727272727273,3.7829958077265577,Adult_num,856.9204545454545,8.877507616523273,Food_cons_Ad,2.575692533016843e-05,2.5761850193417634e-05
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,1590.0240963855422,3.4309860059676125,L2S_num_sum,1682.0602409638554,3.6895524599288008,L2S_num_max,1615.3975903614457,3.5683963856225294,Adult_num,79.53012048192771,6.359107008700506,Food_cons_Ad,0.00023155980909572992,0.00019990370274835734
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,1560.3714285714286,4.056391905540429,L2S_num_sum,1638.2142857142858,4.056377687154625,L2S_num_max,1572.7142857142858,4.025804080127414,Adult_num,38.32857142857143,3.734108990069655,Food_cons_Ad,7.969495719805056e-05,3.358652929507885e-05
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,1501.909090909091,7.055415922072864,L2S_num_sum,1565.2424242424242,8.280008237500846,L2S_num_max,1505.090909090909,7.224851157845377,Adult_num,59.74242424242424,8.211490914147593,Food_cons_Ad,0.000537199473842488,0.0002790766372987984
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1314.1846153846154,22.36949214877447,L2S_num_sum,1358.0,23.738833407277234,L2S_num_max,1314.2769230769231,22.37515049038678,Adult_num,140.93846153846152,13.153309705660309,Food_cons_Ad,0.0034933966313981974,0.0007821706039729179
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,1610.4574468085107,3.89030157270758,L2S_num_sum,1710.0531914893618,3.8936140521283407,L2S_num_max,1642.031914893617,3.7923526020722536,Adult_num,867.2446808510638,10.139032200262164,Food_cons_Ad,2.1067289065571938e-05,8.80562560195549e-06
16,m2,0.950099,s_fed,0.4,L2S_num_last_timepoint,1593.2142857142858,4.083293398305007,L2S_num_sum,1682.6666666666667,4.242313873731067,L2S_num_max,1616.4880952380952,4.215899407753843,Adult_num,87.58333333333333,6.4693151962797595,Food_cons_Ad,3.278154132930527e-05,1.4788985718018427e-05
17,m2,0.900099,s_fed,0.4,L2S_num_last_timepoint,1560.7307692307693,5.4371862849832615,L2S_num_sum,1637.8076923076924,5.84791881011466,L2S_num_max,1571.3846153846155,5.441580602816915,Adult_num,56.44871794871795,7.371558582554289,Food_cons_Ad,0.0003013934969058292,0.00020151753187031977
18,m2,0.8500989999999999,s_fed,0.4,L2S_num_last_timepoint,1493.032786885246,9.21675734537102,L2S_num_sum,1552.950819672131,10.286083394607695,L2S_num_max,1495.2131147540983,9.33856551492554,Adult_num,76.45901639344262,9.74880050826744,Food_cons_Ad,0.0007986105850301199,0.0003001939769178672
19,m2,0.800099,s_fed,0.4,L2S_num_last_timepoint,1337.5625,25.224575395218203,L2S_num_sum,1381.171875,26.62075246214024,L2S_num_max,1337.5625,25.224575395218203,Adult_num,125.125,12.392844277473767,Food_cons_Ad,0.0034612205906459307,0.000953654240480497
20,m2,0.990099,s_fed,0.5,L2S_num_last_timepoint,1620.2826086956522,3.9341305523340906,L2S_num_sum,1717.891304347826,3.8929615552616426,L2S_num_max,1649.4782608695652,4.003267843985747,Adult_num,886.9891304347826,13.289811365703475,Food_cons_Ad,4.528505172428306e-05,3.222915239564372e-05
21,m2,0.950099,s_fed,0.5,L2S_num_last_timepoint,1608.6823529411765,4.282993918847096,L2S_num_sum,1697.0941176470587,4.459736571631855,L2S_num_max,1629.0117647058823,4.379494301980266,Adult_num,97.4235294117647,8.770596031836503,Food_cons_Ad,0.000310093179465165,0.00029206330354762146
22,m2,0.900099,s_fed,0.5,L2S_num_last_timepoint,1572.3246753246754,4.546691072899724,L2S_num_sum,1649.4155844155844,4.823839702651811,L2S_num_max,1583.5194805194806,4.631263577085739,Adult_num,54.84415584415584,7.416891201671008,Food_cons_Ad,0.00032954811198224025,0.0001615283748571607
23,m2,0.8500989999999999,s_fed,0.5,L2S_num_last_timepoint,1499.484375,11.918123291501,L2S_num_sum,1558.890625,13.15272237020792,L2S_num_max,1502.015625,12.033322042508471,Adult_num,87.8125,11.197737401665869,Food_cons_Ad,0.0013630703105583458,0.0006127115425265367
24,m2,0.800099,s_fed,0.5,L2S_num_last_timepoint,1290.1076923076923,29.7151146715073,L2S_num_sum,1333.1846153846154,31.280860856395243,L2S_num_max,1290.2307692307693,29.72804433228808,Adult_num,150.90769230769232,12.720794663223888,Food_cons_Ad,0.004554510608398136,0.0010663532296312501
