,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.03911953485474356
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.08816125430241252
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.11616885980517284
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.12760995970805236
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.12484167318816819
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.04225158775729816
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.09420445872270566
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.12487919841019582
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.13678235627105867
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.1322576583501834
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.04298312402270351
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.09659797207857655
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.12621390840765326
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.13796738083105242
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.133539305374777
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.04334946171974712
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.09701270647884103
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.12783644874253403
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.13814149911174103
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.1347134890534563
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.04351019740862661
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.09773691769171824
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.12819600617454757
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.13959012383054076
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.1347785123023757
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.04423351327253227
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.09812192383474352
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.1297699029049031
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.14023587469144572
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.13550477438670974
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.04430721420200252
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.09964041681491118
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.13078840574943643
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.1415465994564467
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.13625256546250342
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.044980587010352194
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.10037979836874
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.13107184179892886
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.14146247235062615
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.13552498839427612
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.04522618536953628
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.10087379842500035
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.13150797999465708
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.14183527247179778
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.13583526580390484
