,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.13771421893970898
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.13704071662112532
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.13662670514670566
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.1357508663799101
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.13403377917350462
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.13954698870129362
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.13839814504611717
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.13836045896179375
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.13914206986164945
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.13690052927246532
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.14422811170189187
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.14445750970216936
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.14432361431492685
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.14437276919724046
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.1424767954722335
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.15118203681002287
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.14977788776976134
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.14980769510393388
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.14960156824702756
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.14668967752376727
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.15477747992334626
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.15431155861751902
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.15412648311618715
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.15339225630451367
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.15034941105949137
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.15691865901820926
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.15847826092623463
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.15567075611988784
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.15529947532757163
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.1526005120734681
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.16101054510887267
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.15892107296298214
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.15708965992486812
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.1570105624195515
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.15409514621415576
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.1612446889101136
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.1594851456510943
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.15893338123337006
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.15735415687658497
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.15335536993895044
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.16206050420130969
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.1601295129457569
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.15927714374185648
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.15888342748313297
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.15375107817871966
