,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.16152779682191445
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.16585146879264526
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.2250233426704015
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.2510977040388805
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.17822808052987082
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.09071044591406582
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.10300128970205695
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.10309886192239133
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.12914131169709267
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.08875284653831368
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.09047693347896187
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.09057817998994469
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.15461370873135583
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.16420903202910123
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.10809909045203167
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.10025138260432379
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.11263674346838648
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.1255446623093682
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.12798321804406998
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.12006033182503772
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.142084094096478
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.11686583903778473
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.12376251199780612
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.1339713250463758
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.15485647250353132
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.1253240649660087
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.13112978524743227
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.1308295625942685
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.1304005362828892
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.20248969331322267
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.18164556222011755
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.24549263372792773
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.27080610021786483
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.23597285067873303
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.26109253065774807
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.3361695205985863
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.45753429576958976
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.34811734811734807
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.4603804797353183
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.3754470098361499
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.429308002524523
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.42661712589976564
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.5960458195752313
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.327605914160536
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.48351514726343714
